State,YEAR,        Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Alabama,2010,195566,369310,988205,690363,225382,439863,252832,3163531
Alaska,2010,12708,27668,114055,133217,37106,83346,42477,452587
Arizona,2010,261461,333890,1040197,1100225,336950,691889,382146,4148768
Arkansas,2010,121504,205920,664076,432193,121711,252888,121130,1921432
California,2010,2534951,2115091,5012413,5351807,1831667,4610875,2640396,24099210
Colorado,2010,141906,201526,759326,753324,260733,779055,432175,3330055
Connecticut,2010,111914,165094,687618,431411,173047,491990,373309,2436393
Delaware,2010,23093,51028,196159,120045,43386,99400,67668,602789
Florida,2010,751011,1148040,3916584,2768793,1121500,2171876,1199375,13079189
Georgia,2010,362962,616597,1824976,1306500,422830,1093642,608116,6237633
Hawaii,2010,44550,49049,265263,208837,85655,184364,89210,928938
Idaho,2010,41572,73894,282678,267054,81703,165218,75710,989839
Illinois,2010,472627,637864,2336176,1805974,609204,1629625,974292,8467772
Indiana,2010,176191,372087,1521860,884620,315927,617193,341920,4231808
Iowa,2010,79022,111622,681148,440865,202577,344952,158599,2020795
Kansas,2010,81840,117769,511343,445999,135842,354379,193509,1842691
Kentucky,2010,222671,302020,996825,587180,198229,359930,236453,2905318
Louisiana,2010,190254,341622,1012345,619617,151174,424074,206821,2947917
Maine,2010,33514,57273,322397,188163,84698,162350,88619,939024
Maryland,2010,181928,280699,1004589,764665,244750,762917,633926,3875484
Massachusetts,2010,220010,265391,1168464,728540,337594,992307,746592,4460908
Michigan,2010,228553,512569,2032219,1592131,549148,1023760,631421,6571811
Minnesota,2010,115853,173052,963579,799477,353299,760013,362823,3530106
Mississippi,2010,125258,236533,583436,427958,159702,236965,134554,1906416
Missouri,2010,174979,348656,1269737,899999,271659,639352,380467,3986859
Montana,2010,16844,38789,201082,168913,53464,133356,60504,674962
Nebraska,2010,48030,66182,335752,288668,106676,232326,106745,1186389
Nevada,2010,112064,162597,531333,469209,126202,256589,131536,1791540
New Hampshire,2010,25011,52525,270680,171327,90731,185129,112352,909765
New Jersey,2010,322882,390852,1761246,1014776,367832,1321937,791379,5972914
New Mexico,2010,101671,121746,354726,333617,94493,189989,145087,1343339
New York,2010,921410,1060697,3627235,2148659,1072055,2433331,1826461,13091858
North Carolina,2010,354732,610095,1749642,1392117,545716,1123118,550201,6327631
North Dakota,2010,21774,20989,119871,106156,51857,87414,34885,444956
Ohio,2010,254513,660580,2718983,1583538,602445,1210527,690263,7722859
Oklahoma,2010,111530,225692,784855,599946,166649,376600,183941,2451223
Oregon,2010,107150,186987,653316,711777,203853,478133,273670,2616896
Pennsylvania,2010,324917,675770,3246315,1426340,638002,1445223,898262,8656839
Rhode Island,2010,52076,65053,192992,132513,52759,128188,86398,711989
South Carolina,2010,168065,321816,937777,632791,259417,484341,270150,3076367
South Dakota,2010,24758,30457,168427,115589,53362,98760,41026,534389
Tennessee,2010,264801,429041,1422131,882947,263107,621127,359237,4244401
Texas,2010,1533921,1514400,4033241,3598229,1000561,2733721,1358049,15774132
Utah,2010,48943,100093,387683,439793,143171,315627,149514,1586834
Vermont,2010,13129,25627,135729,75936,35790,87638,57193,433052
Virginia,2010,293672,428004,1363946,1078426,361635,1075786,759832,5363311
Washington,2010,185927,273365,1072578,1149227,425322,897884,501354,4507667
West Virginia,2010,78648,138573,538546,237089,75046,140850,85995,1296757
Wisconsin,2010,131242,244183,1265296,803727,354494,659852,341501,3802305
Wyoming,2010,9676,18962,111983,101199,39657,58232,31242,372961
Alabama,2011,177922,373824,985450,709188,236162,443488,267044,3195089
Alaska,2011,13994,23627,128373,136407,34000,77153,43308,458873
Arizona,2011,261654,340443,1036587,1105144,348197,719546,399652,4213234
Arkansas,2011,121108,194433,693216,426776,113074,254903,139917,1945438
California,2011,2511634,2110457,5150994,5392030,1872437,4697422,2708898,24445883
Colorado,2011,135447,195838,757700,773805,281428,789859,453233,3389321
Connecticut,2011,108358,158336,676513,438018,179119,500103,383956,2446414
Delaware,2011,28532,50984,192931,119828,42602,104599,71644,613131
Florida,2011,749262,1118540,4033074,2761492,1175984,2190780,1238449,13269592
Georgia,2011,368948,620384,1849141,1311569,419954,1119648,619317,6310972
Hawaii,2011,41062,47326,267463,216187,94200,180231,93043,941523
Idaho,2011,45008,68691,275033,268684,88949,174646,77449,1000471
Illinois,2011,480820,610761,2351322,1811978,622949,1645334,998530,8523705
Indiana,2011,177743,364064,1509773,889853,334810,628173,351043,4257470
Iowa,2011,75177,114912,670103,432011,211899,358051,165048,2029212
Kansas,2011,76472,108250,516483,455731,137051,365541,192566,1854105
Kentucky,2011,203871,291143,996929,610797,203585,359975,256050,2924361
Louisiana,2011,181476,339225,1024825,643911,155360,415415,212525,2974748
Maine,2011,32045,53521,314456,191100,83864,168605,98946,944548
Maryland,2011,167418,268473,1010843,778659,245892,800177,644195,3917668
Massachusetts,2011,222929,262443,1165691,738697,349778,1004133,758377,4504059
Michigan,2011,228828,509168,2028204,1577887,555968,1037602,650667,6590335
Minnesota,2011,116545,167364,958243,797766,368032,777339,375512,3562812
Mississippi,2011,125696,235234,578273,434694,159186,240726,138899,1914719
Missouri,2011,157386,340886,1260623,918314,286363,656222,388760,4010565
Montana,2011,13638,38609,206699,170070,56859,132946,57972,678804
Nebraska,2011,46699,61065,347223,292447,114551,225822,108305,1198123
Nevada,2011,115683,174436,528392,455886,129688,269461,137414,1812971
New Hampshire,2011,26031,52952,267726,175455,86730,191748,113565,916218
New Jersey,2011,334272,378360,1767217,1037573,368288,1322225,796678,6006624
New Mexico,2011,98343,129382,359628,319658,101180,195527,150468,1356197
New York,2011,900547,1073719,3635549,2150291,1091931,2467536,1878131,13199715
North Carolina,2011,366748,609890,1745251,1396249,558745,1136478,585996,6401368
North Dakota,2011,20051,21538,120688,109215,58753,86615,31285,450156
Ohio,2011,257573,648932,2695735,1633426,602825,1196897,713848,7751247
Oklahoma,2011,117845,220261,774960,595284,172761,396219,191866,2471207
Oregon,2011,109780,171885,662549,709006,215713,486317,289504,2646765
Pennsylvania,2011,317207,674891,3270338,1443263,658863,1443083,906590,8716246
Rhode Island,2011,45849,62562,187966,134592,59485,134049,87763,714277
South Carolina,2011,173282,319721,955509,647172,266173,486569,262106,3112543
South Dakota,2011,22219,28408,168906,124081,52340,97956,43678,539599
Tennessee,2011,262111,414411,1435886,908721,259365,655551,358347,4296403
Texas,2011,1529216,1513011,4099519,3632685,1052281,2847501,1400178,16076402
Utah,2011,50780,104484,381551,444920,148367,322983,155583,1610679
Vermont,2011,11981,23846,131219,77248,36468,93188,60702,436663
Virginia,2011,261250,397638,1388613,1087264,380585,1111225,792269,5420855
Washington,2011,192924,258880,1092508,1132829,445281,925095,535909,4585437
West Virginia,2011,75385,128987,539023,229070,82692,150916,88125,1296209
Wisconsin,2011,130016,239492,1266895,814234,366423,668444,345869,3833384
Wyoming,2011,6925,23238,115521,99998,37078,61815,31033,377619
Alabama,2012,171543,342914,1003543,705932,238555,472037,275122,3211658
Alaska,2012,13726,23460,130277,128720,38287,79559,50565,466606
