GeoName,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,Personal income (thousands of dollars),162531112,168474324,173361655,175185262,181078773,189115437,192363456,199336413,207053583,215930375
Alaska,Personal income (thousands of dollars),35451983,37981757,39265976,38978032,41209955,42555117,41837407,42497120,44102675,45293853
Arizona,Personal income (thousands of dollars),216873648,227700087,237809058,243752324,257272272,270815540,282085147,297904910,315732186,334023910
Arkansas,Personal income (thousands of dollars),94576076,100739246,107877287,108367763,114743300,118719486,121825917,125779938,130865194,135302690
California,Personal income (thousands of dollars),1614040770,1715226969,1827166863,1857200859,1980736837,2125430316,2218457774,2318644417,2431821953,2544234978
Colorado,Personal income (thousands of dollars),205866132,223492650,236759086,249512681,271410156,284836823,289672968,309657658,331955386,350390096
Connecticut,Personal income (thousands of dollars),221058479,226907103,231171081,226175849,236756584,243164608,247777383,253120724,264263091,270282785
Delaware,Personal income (thousands of dollars),36837784,39925002,40393268,41100328,43031603,45216125,46444792,48570693,51310453,52537576
Florida,Personal income (thousands of dollars),732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023131116,1087188628,1139799293
Georgia,Personal income (thousands of dollars),338275543,361250577,371456775,377202210,402790922,427437432,444023658,469238343,493174866,518277973
Hawaii,Personal income (thousands of dollars),56751099,59288116,61557042,62521242,66036681,69109054,71571666,74456706,76183950,78516120
Idaho,Personal income (thousands of dollars),50432553,53273739,56177068,58403714,61801361,65475653,68009336,72066433,76680638,81834124
Illinois,Personal income (thousands of dollars),543084289,569775540,595073548,609778574,638639973,666943662,673690951,693330956,728366162,748811625
Indiana,Personal income (thousands of dollars),231707192,246494012,258136431,261702287,272244928,282821367,290604355,301643842,316782272,329681959
Iowa,Personal income (thousands of dollars),116906023,125978180,132158943,134757839,139531286,144587626,145790014,149547584,156072161,159664542
Kansas,Personal income (thousands of dollars),114239828,123558772,130948127,133979908,136878718,138336768,138533890,142729689,148955739,154961001
Kentucky,Personal income (thousands of dollars),145301180,152218739,157635717,159224753,166717085,174331189,177190630,182475996,188362010,196250549
Louisiana,Personal income (thousands of dollars),173800833,179073440,188760806,191497268,200293914,201363461,200190623,206203183,215111592,222059671
Maine,Personal income (thousands of dollars),50603646,52789038,53782491,53742001,55863585,58331304,59959246,62428715,65121654,67855460
Maryland,Personal income (thousands of dollars),287652437,303517765,312175752,311524042,322438196,337702762,350384383,361776730,372196856,381396696
Massachusetts,Personal income (thousands of dollars),347492138,363396351,379267836,382611077,401832495,428228930,444184133,463599930,486203915,506614169
Michigan,Personal income (thousands of dollars),353316281,373861260,389544137,393576751,411019819,433688597,446030231,458756727,476476831,492022215
Minnesota,Personal income (thousands of dollars),226957064,242593231,257164228,259781775,273487954,286422936,292234917,304470047,319619110,329523912
Mississippi,Personal income (thousands of dollars),92933243,96917993,100377212,102317393,104255478,106063990,107499466,110107234,112818083,116335836
Missouri,Personal income (thousands of dollars),222563967,231646331,242981353,245199961,254317468,263271401,270603534,277413945,289453952,300545976
Montana,Personal income (thousands of dollars),36060380,38487933,40919721,41322467,43555779,45453524,46074125,48774522,50989452,53612563
Nebraska,Personal income (thousands of dollars),75489582,84211642,86754229,87398705,92524041,96282140,94838024,97112011,101204153,104430185
Nevada,Personal income (thousands of dollars),101307041,105105361,109347399,109870516,117372236,127116993,132058361,140516706,149789211,158923867
New Hampshire,Personal income (thousands of dollars),62032251,64945252,67855254,67703675,70501217,73474566,76092328,79390605,83161074,86797535
New Jersey,Personal income (thousands of dollars),449927051,470008136,487527661,492488242,515515069,537105894,552051391,572482431,597005046,619065784
New Mexico,Personal income (thousands of dollars),69607245,72967704,74725350,73561774,77975093,79864310,81414081,82859946,86531927,90539175
New York,Personal income (thousands of dollars),947076555,997755770,1049158190,1062135398,1105907821,1154722863,1194534615,1272902952,1316439885,1361472689
North Carolina,Personal income (thousands of dollars),343348333,355826622,380160568,376392383,398099522,419334270,432626193,453097701,475483336,500496856
North Dakota,Personal income (thousands of dollars),29880787,33666049,39796219,39933546,42819622,41178930,39765824,40215805,42821862,44420233
Ohio,Personal income (thousands of dollars),425361803,453595432,471703866,479088726,498894557,518826754,529069639,548272730,569766136,587177304
Oklahoma,Personal income (thousands of dollars),140140348,150709925,161128385,169382612,180468965,175133987,166547739,174240274,182574301,191366815
Oregon,Personal income (thousands of dollars),138291590,145596106,153547958,156130012,167077325,179600218,188283318,198995690,211414601,221186350
Pennsylvania,Personal income (thousands of dollars),537282210,564695398,587665984,593682098,619079371,643988051,661160078,679620194,716336524,737160920
Rhode Island,Personal income (thousands of dollars),45116212,46793695,48501742,48544705,50646175,52447570,53229695,55300956,57371833,59908897
South Carolina,Personal income (thousands of dollars),152230540,160767373,169185165,171617231,182832639,194364093,202215375,212626347,222564692,234443672
