GeoName,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,Personal income (thousands of dollars),99847704,103369398,108215370,111947357,114904537,120123434,128828691,136861148,145692271,152984377,158450580,155913476,162531112,168474324,173361655,175185262,181078773,189115437,192363456,199336413,207053583,215930375,228748804
Alaska,Personal income (thousands of dollars),18136011,18712485,20122417,21309233,22325307,23340268,24404323,26061238,27793409,29869101,32907654,33028359,35451983,37981757,39265976,38978032,41209955,42555117,41837407,42497120,44102675,45293853,46430293
Arizona,Personal income (thousands of dollars),118042927,125393478,136175114,142423527,147602212,156458313,170821628,188761972,209228706,221244846,224508260,212645969,216873648,227700087,237809058,243752324,257272272,270815540,282085147,297904910,315732186,334023910,368458631
Arkansas,Personal income (thousands of dollars),55698439,57999091,61020960,64255331,65770417,69742263,74404831,78500666,83572448,89170536,92864693,91170801,94576076,100739246,107877287,108367763,114743300,118719486,121825917,125779938,130865194,135302690,143147852
California,Personal income (thousands of dollars),959693523,1030884656,1135543382,1173878608,1190223778,1243465494,1318744308,1394854877,1503754405,1572721399,1594742475,1540872603,1614040770,1715226969,1827166863,1857200859,1980736837,2125430316,2218457774,2318644417,2431821953,2544234978,2763311977
Colorado,Personal income (thousands of dollars),123090038,132293877,147242413,154444546,154639616,157851893,163872909,175069160,189465506,202115932,210029393,199351557,205866132,223492650,236759086,249512681,271410156,284836823,289672968,309657658,331955386,350390096,370392116
Connecticut,Personal income (thousands of dollars),127302057,134438972,146946423,155003001,154596371,156784557,165149363,174430045,188872608,203467247,216174486,212582639,221058479,226907103,231171081,226175849,236756584,243164608,247777383,253120724,264263091,270282785,279612377
Delaware,Personal income (thousands of dollars),22497390,24165267,26645281,29379184,30358952,31136926,32379482,33273931,35275330,36380424,36145189,36432931,36837784,39925002,40393268,41100328,43031603,45216125,46444792,48570693,51310453,52537576,55357375
District of Columbia,Personal income (thousands of dollars),21547459,22693415,24897697,25778283,25876145,26157593,28437636,30028388,31846881,34363155,35328960,35618468,38324408,41394990,43010572,43697327,46780232,50337298,52684466,54453213,56572895,57240346,61706124
Florida,Personal income (thousands of dollars),416327815,436360727,472851789,497538688,514203187,540473560,588257449,642291218,697349656,727260678,729994125,686755798,732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023131116,1087188628,1139799293,1209995921
Georgia,Personal income (thousands of dollars),205649667,219284087,237369666,249320731,256379952,266411419,280916744,298525829,318543834,333611490,336828308,329744586,338275543,361250577,371456775,377202210,402790922,427437432,444023658,469238343,493174866,518277973,554566468
Hawaii,Personal income (thousands of dollars),32514628,33608141,35579023,37058606,38747097,40621407,43654661,47022853,50399032,53272076,55911098,55325988,56751099,59288116,61557042,62521242,66036681,69109054,71571666,74456706,76183950,78516120,82527340
Idaho,Personal income (thousands of dollars),28531415,30218461,32723608,34054339,35161640,36440794,39412241,41979226,46227770,49227031,50388905,48624503,50432553,53273739,56177068,58403714,61801361,65475653,68009336,72066433,76680638,81834124,89077702
Illinois,Personal income (thousands of dollars),367298557,383972540,412965474,428339195,433314863,442126402,459761463,478865630,510377022,539737436,553983863,526967646,543084289,569775540,595073548,609778574,638639973,666943662,673690951,693330956,728366162,748811625,792135458
Indiana,Personal income (thousands of dollars),154708362,160797555,171501465,175494336,178021079,182928699,191918747,198189001,209756226,217254190,227486536,221343202,231707192,246494012,258136431,261702287,272244928,282821367,290604355,301643842,316782272,329681959,350759528
Iowa,Personal income (thousands of dollars),73171914,75098662,80228537,82571095,84424009,86443807,93643080,96704540,102746788,110011004,116756720,113084524,116906023,125978180,132158943,134757839,139531286,144587626,145790014,149547584,156072161,159664542,169181641
Kansas,Personal income (thousands of dollars),69763065,72120692,76105125,78664651,79365190,81890340,84335940,89346228,98610188,105943199,115852478,111697350,114239828,123558772,130948127,133979908,136878718,138336768,138533890,142729689,148955739,154961001,163462179
Kentucky,Personal income (thousands of dollars),89452395,93315383,100691406,104126894,106568397,109876646,116453381,122305663,129361302,135056801,141572559,139861726,145301180,152218739,157635717,159224753,166717085,174331189,177190630,182475996,188362010,196250549,211947617
Louisiana,Personal income (thousands of dollars),99070805,101467683,107310631,114917421,118229417,122169803,127758432,137935112,145645475,159411284,170869293,165876246,173800833,179073440,188760806,191497268,200293914,201363461,200190623,206203183,215111592,222059671,236327179
Maine,Personal income (thousands of dollars),31232562,32656992,35107378,37058391,38323541,40247620,42315564,43421280,45599656,47357327,49445354,49402953,50603646,52789038,53782491,53742001,55863585,58331304,59959246,62428715,65121654,67855460,73192795
Maryland,Personal income (thousands of dollars),163853853,173588820,189023506,199273079,206925251,216521541,230980240,243351451,256471520,267560847,279622862,277627489,287652437,303517765,312175752,311524042,322438196,337702762,350384383,361776730,372196856,381396696,404520746
Massachusetts,Personal income (thousands of dollars),206430628,220900683,245502523,255086839,253738694,258616742,271926806,284122493,306081940,322125961,335157165,330909697,347492138,363396351,379267836,382611077,401832495,428228930,444184133,463599930,486203915,506614169,540855263
Michigan,Personal income (thousands of dollars),270129905,283339665,302000579,307220858,306502877,314078154,323456673,331142642,339338377,349331478,357779785,339695037,353316281,373861260,389544137,393576751,411019819,433688597,446030231,458756727,476476831,492022215,530808563
Minnesota,Personal income (thousands of dollars),140368599,147680886,160088983,166871882,170418975,178356163,189320918,194876787,204823707,216907171,226467098,216945702,226957064,242593231,257164228,259781775,273487954,286422936,292234917,304470047,319619110,329523912,350784691
Mississippi,Personal income (thousands of dollars),56584717,58573067,61755376,65175887,66375044,69022294,73109867,77981568,81284366,86544398,90748398,89226649,92933243,96917993,100377212,102317393,104255478,106063990,107499466,110107234,112818083,116335836,124988200
Missouri,Personal income (thousands of dollars),141027077,146510937,156675811,161842010,165525993,171766554,181111939,187996225,199347818,209021358,221033500,216893573,222563967,231646331,242981353,245199961,254317468,263271401,270603534,277413945,289453952,300545976,318019086
Montana,Personal income (thousands of dollars),19152313,19560451,20860368,21763691,22384638,24025250,26161859,28272678,30670209,32976141,34947618,34133536,36060380,38487933,40919721,41322467,43555779,45453524,46074125,48774522,50989452,53612563,57660158
Nebraska,Personal income (thousands of dollars),44804786,46958266,49767676,52068660,52884641,56241293,58826394,61063543,63850574,68718017,72815547,71664168,75489582,84211642,86754229,87398705,92524041,96282140,94838024,97112011,101204153,104430185,111545028
Nevada,Personal income (thousands of dollars),54324351,58824949,64571602,68116633,69843204,74483360,82663167,92687379,100318143,104595471,103056192,97267129,101307041,105105361,109347399,109870516,117372236,127116993,132058361,140516706,149789211,158923867,168587258
New Hampshire,Personal income (thousands of dollars),36562955,38924196,43810890,46136826,46923177,47829348,50874298,52743971,56460324,58663384,60381352,59357981,62032251,64945252,67855254,67703675,70501217,73474566,76092328,79390605,83161074,86797535,91673070
New Jersey,Personal income (thousands of dollars),287264744,300654040,330613568,341787737,346163495,354361814,370214789,384731419,413114576,438001097,451052135,436503978,449927051,470008136,487527661,492488242,515515069,537105894,552051391,572482431,597005046,619065784,652498893
New Mexico,Personal income (thousands of dollars),38344205,39031267,42073628,45061927,46855515,48999128,52162934,55761986,60035519,63582883,67656801,67034123,69607245,72967704,74725350,73561774,77975093,79864310,81414081,82859946,86531927,90539175,97603465
New York,Personal income (thousands of dollars),600946914,637109240,685783350,711466252,709784990,720548897,754007427,782224915,843047510,907402575,925727617,907953383,947076555,997755770,1049158190,1062135398,1105907821,1154722863,1194534615,1272902952,1316439885,1361472689,1440049486
North Carolina,Personal income (thousands of dollars),198667149,208586318,222325779,228555910,231900307,241851137,262024320,281572128,306618081,330170299,352222250,339555620,343348333,355826622,380160568,376392383,398099522,419334270,432626193,453097701,475483336,500496856,533269337
North Dakota,Personal income (thousands of dollars),15077563,15272287,16623223,16961221,17369524,18958792,19410298,20653421,21662917,23964522,27009433,26739849,29880787,33666049,39796219,39933546,42819622,41178930,39765824,40215805,42821862,44420233,47089333
Ohio,Personal income (thousands of dollars),299095784,308329260,324977550,333912229,338738307,348858473,362572573,373789356,392816917,409745801,424081872,412218962,425361803,453595432,471703866,479088726,498894557,518826754,529069639,548272730,569766136,587177304,627231345
Oklahoma,Personal income (thousands of dollars),74933702,77034229,83519163,88786321,90797895,95327581,103161585,113042769,125269188,129786517,144283135,133523584,140140348,150709925,161128385,169382612,180468965,175133987,166547739,174240274,182574301,191366815,198552111
Oregon,Personal income (thousands of dollars),87241012,90336969,97354718,99975868,101008586,104740846,110638813,116691610,127440174,133555555,139412180,134493278,138291590,145596106,153547958,156130012,167077325,179600218,188283318,198995690,211414601,221186350,238847065
Pennsylvania,Personal income (thousands of dollars),334742455,349385320,373971605,389069835,396229237,410471306,434175861,453298198,476775101,506789684,526290259,513386283,537282210,564695398,587665984,593682098,619079371,643988051,661160078,679620194,716336524,737160920,788725185
Rhode Island,Personal income (thousands of dollars),28410005,29647398,31946481,33633331,34972557,36747770,38606392,39495478,41490709,43237940,43928579,42788668,45116212,46793695,48501742,48544705,50646175,52447570,53229695,55300956,57371833,59908897,64299905
South Carolina,Personal income (thousands of dollars),89931923,94453764,101138850,104620934,107551602,111359645,117847306,125049513,135022372,143997219,150517984,146919521,152230540,160767373,169185165,171617231,182832639,194364093,202215375,212626347,222564692,234443672,250573590
South Dakota,Personal income (thousands of dollars),18111949,18989979,20275491,20953759,20955087,22890291,24671652,26202314,27640275,30673887,32898723,31893747,33804000,36842808,37844222,38365923,40252253,41912669,42336778,43813041,46031995,48547806,52920713
Tennessee,Personal income (thousands of dollars),139897242,145517190,154378504,158384637,162942356,170160259,180115351,189003815,201325219,210986900,219027311,217218572,227882962,241617612,254470632,256753847,267288734,281281093,290239862,303062683,319949282,334750234,351546309
Texas,Personal income (thousands of dollars),515146583,545418168,594465991,631990751,640381588,665861136,698584438,757968624,832292050,883810360,971051195,924343949,985165114,1077403282,1152725226,1184840515,1274636863,1300510099,1296480756,1387824297,1483121609,1544020717,1618635133
Utah,Personal income (thousands of dollars),48227506,50859248,54450819,56922719,58562908,60872629,64886832,71095264,79116039,86153056,90386888,86761575,89439153,96356694,102990773,106176204,112620169,121339160,127881434,135658763,146326354,157335049,169656348
Vermont,Personal income (thousands of dollars),15426625,16303841,17687618,18804820,19212249,19980138,21131250,21666544,23051976,24280942,25603938,25291705,26140047,27690554,28554400,28964344,30195918,31078990,31575635,32406144,33437205,34569620,36894247
Virginia,Personal income (thousands of dollars),200072500,214461205,232469615,244753608,251379556,266597645,285112612,304349954,325251794,342962739,356536029,349428515,365245480,385984453,404179743,401684271,419329599,438272757,449830106,467437651,484936827,502600783,532256216
Washington,Personal income (thousands of dollars),170274853,180875799,193410020,198030996,201013586,209084894,224764687,233923199,255002627,276678424,290319382,277305285,285579891,302075863,326698847,333763661,359690641,381158080,401774275,426283489,454257001,479840878,516441099
West Virginia,Personal income (thousands of dollars),37123018,38114073,40327673,42791913,44263425,44986864,46658446,49118578,52467619,54490757,58167097,58608638,60753800,64227278,65898534,65572756,67764369,69178579,68630112,71397573,74777877,76299460,80304051
