State,YEAR,Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Alabama,2019,130320,302753,1039241,700473,301914,547975,337382,3360058
Alaska,2019,10424,20666,139156,124261,43394,89583,56574,484058
Arizona,2019,252459,360539,1170685,1236845,431854,931038,561120,4944540
Arkansas,2019,94376,160617,710306,444052,151738,307185,168182,2036456
California,2019,2346235,1955278,5546711,5542372,2118792,5889724,3538760,26937872
Colorado,2019,127702,174518,836590,805570,334961,1057825,637777,3974943
Connecticut,2019,99132,132707,668361,410972,190700,549166,445382,2496420
Delaware,2019,23925,42597,207642,128063,56885,134287,93912,687311
Florida,2019,712764,1081871,4396122,3001381,1538727,2982643,1770994,15484502
Georgia,2019,319929,536096,1939945,1414554,568130,1410395,891173,7080222
Hawaii,2019,36278,39700,273421,205964,106096,219979,115230,996668
Idaho,2019,34969,64937,305274,304578,124584,220189,116466,1170997
Illinois,2019,388348,494289,2255611,1737416,710058,1886240,1222732,8694694
Indiana,2019,162057,306026,1526825,896654,397627,777771,435055,4502015
Iowa,2019,57894,98587,658822,433870,251578,420199,202054,2123004
Kansas,2019,63799,93958,504035,430549,173251,414851,237638,1918081
Kentucky,2019,154759,235894,1012643,619035,260188,453040,312883,3048442
Louisiana,2019,138644,302200,1066026,646746,202310,503947,280328,3140201
Maine,2019,20783,46531,311108,184723,99008,205722,123277,991152
Maryland,2019,168321,233831,1030636,753547,287293,911781,798449,4183858
Massachusetts,2019,203412,217529,1158066,729016,360810,1197208,984535,4850576
Michigan,2019,186035,410252,2005981,1572770,648794,1252685,818110,6894627
Minnesota,2019,103730,141960,939997,785721,442578,942830,490396,3847212
Mississippi,2019,91377,199540,598609,440939,207448,270712,171039,1979664
Missouri,2019,122379,269436,1308859,900486,333721,775808,495473,4206162
Montana,2019,12087,30595,211079,169641,69400,171309,77839,741950
Nebraska,2019,43627,57645,326389,280333,141189,277159,145428,1271770
Nevada,2019,109903,171012,593417,525746,187469,355837,193082,2136466
New Hampshire,2019,19331,46341,275105,174078,96658,224636,143601,979750
New Jersey,2019,287999,311620,1666321,974540,398984,1555781,995984,6191229
New Mexico,2019,82436,118892,376390,324141,129531,221281,173317,1425988
New York,2019,795539,898691,3524192,2075506,1204588,2898440,2267778,13664734
North Carolina,2019,299154,519770,1839042,1480044,727882,1471420,849765,7187077
North Dakota,2019,13284,19735,134432,112811,70716,108527,44870,504375
Ohio,2019,221017,519830,2627758,1622014,702601,1464945,891640,8049805
Oklahoma,2019,100954,202312,825284,596289,207896,447888,238621,2619244
Oregon,2019,98217,160182,687243,741058,269102,627911,404405,2988118
Pennsylvania,2019,273775,538057,3103046,1420062,775694,1761627,1155775,9028036
Rhode Island,2019,37697,42510,212282,129984,64204,156087,104188,746952
South Carolina,2019,132646,283032,1015260,725158,352549,656496,398063,3563204
South Dakota,2019,16462,29832,176644,120476,69831,121231,53553,588029
Tennessee,2019,202493,360324,1480753,953282,348886,845100,503124,4693962
Texas,2019,1436483,1445905,4734422,3976607,1402600,3750797,2025736,18772550
Utah,2019,46767,86293,442206,486888,184777,448109,216552,1911592
Vermont,2019,9568,21290,129254,74468,38706,101015,71257,445558
Virginia,2019,222224,362488,1387610,1107258,468107,1312800,1012270,5872757
Washington,2019,187558,252516,1167347,1199747,527524,1204728,750904,5290324
West Virginia,2019,53606,111199,515431,229877,101267,161686,108020,1281086
Wisconsin,2019,98802,192060,1223392,804271,438381,829878,428501,4015285
Wyoming,2019,6546,14704,117501,93505,44034,73183,40374,389847
Alabama,2018,131592,316587,1026976,721987,288285,536086,315951,3337464
Alaska,2018,12023,20421,137293,129250,39938,89635,56793,485353
Arizona,2018,256545,349389,1159297,1208158,428422,898032,540461,4840304
Arkansas,2018,92515,166471,686867,450668,154143,296422,174853,2021939
California,2018,2396226,1958791,5559362,5589646,2140543,5704852,3466224,26815644
Colorado,2018,127663,189453,812615,815752,329255,1013989,611560,3900287
Connecticut,2018,97719,128535,669967,413974,195971,544028,443202,2493396
Delaware,2018,26223,42858,225797,120182,51648,124178,88814,679700
Florida,2018,708872,1052860,4387954,3015699,1489510,2920459,1726771,15302125
Georgia,2018,308720,557379,1942122,1383144,562774,1362317,861716,6978172
Hawaii,2018,38532,41547,266728,204652,110557,218828,114745,995589
Idaho,2018,40692,63176,318218,292076,113323,213462,102800,1143747
